Event_Number;Ini_E[MeV];Ini_X[cm];Ini_Y[cm];Ini_Z[cm];Ini_Theta;Ini_Phi;Number_of_hits
1;6.3;6.05;-187.3;111.426;;;
18;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;102.574;;;
19;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;114.409;;;
20;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;102.847;;;
21;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;108.357;;;
22;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;109.321;;;
23;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;103.344;;;
24;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;11.503;;;
25;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;121.377;;;
26;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;115.683;;;
27;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;113.161;;;
28;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;114.373;;;
29;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;122.381;;;
30;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;117.797;;;
31;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;11.046;;;
32;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;10.946;;;
33;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;116.869;;;
34;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;108.213;;;
35;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;113.385;;;
36;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;116.386;;;
37;10.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;10.623;;;
2;56.7;6.05;-134.8;715.461;;;
38;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;11.276;;;
39;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;109.191;;;
40;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;112.971;;;
41;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;104.253;;;
42;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;104.615;;;
43;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;114.397;;;
44;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;111.971;;;
45;10.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;115.004;;;
2;6.3;-30.25;-134.8;457.958;;;
46;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;108.219;;;
47;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;109.704;;;
48;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;124.846;;;
