,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
253,4,-31.5,-6.05,-13.2,866.836,,,finHit
254,57,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
255,1,6.3,6.05,-187.3,11.401,,,finHit
256,2,6.3,6.05,-134.8,302.676,,,finHit
257,3,6.3,6.05,-96.9,447.637,,,finHit
258,4,6.3,6.05,-13.2,755.409,,,finHit
259,58,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
260,1,6.3,6.05,-187.3,106.858,,,finHit
261,2,-6.3,6.05,-134.8,291.592,,,finHit
262,4,31.5,-42.35,-13.2,104.158,,,finHit
263,59,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
264,1,6.3,6.05,-187.3,116.077,,,finHit
265,2,-6.3,6.05,-134.8,292.215,,,finHit
266,3,-6.3,-6.05,-96.9,429.898,,,finHit
267,4,6.3,-6.05,-13.2,725.255,,,finHit
268,60,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
269,1,6.3,6.05,-187.3,104.668,,,finHit
270,2,6.3,6.05,-134.8,287.327,,,finHit
271,3,6.3,-6.05,-96.9,430.896,,,finHit
272,61,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
273,1,6.3,6.05,-187.3,11.474,,,finHit
274,2,-6.3,-6.05,-134.8,31.063,,,finHit
275,3,-6.3,-6.05,-96.9,459.939,,,finHit
276,62,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
277,1,6.3,6.05,-187.3,110.254,,,finHit
278,2,-6.3,6.05,-134.8,295.735,,,finHit
279,3,-6.3,6.05,-96.9,431.207,,,finHit
280,4,-6.3,30.25,-13.2,87.861,,,finHit
281,4,6.3,18.15,-13.2,802.758,,,finHit
282,63,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
283,1,6.3,6.05,-187.3,115.734,,,finHit
284,3,18.9,-6.05,-96.9,497.053,,,finHit
285,64,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
286,1,6.3,6.05,-187.3,111.503,,,finHit
287,2,-6.3,6.05,-134.8,288.661,,,finHit
288,3,-6.3,6.05,-96.9,426.023,,,finHit
289,4,-6.3,6.05,-13.2,720.027,,,finHit
290,65,100.0,1.0,1.0,-220.0,0.0,0.0,6.0
291,1,6.3,6.05,-187.3,113.711,,,finHit
292,3,-6.3,-6.05,-96.9,426.727,,,finHit
293,4,-18.9,-6.05,-13.2,820.161,,,finHit
294,2,6.3,6.05,-134.8,286.704,,,finHit
295,3,6.3,6.05,-96.9,42.128,,,finHit
296,4,18.9,-6.05,-13.2,793.909,,,finHit
297,66,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
298,1,6.3,6.05,-187.3,110.244,,,finHit
299,2,6.3,-6.05,-134.8,30.859,,,finHit
300,3,18.9,6.05,-96.9,551.301,,,finHit
301,67,100.0,1.0,1.0,-220.0,0.0,0.0,6.0
302,1,6.3,6.05,-187.3,112.697,,,finHit
303,2,-6.3,18.15,-134.8,378.247,,,finHit
304,2,-6.3,-6.05,-134.8,358.371,,,finHit
305,3,-31.5,-6.05,-96.9,572.954,,,finHit
306,2,6.3,-6.05,-134.8,292.607,,,finHit
307,3,-6.3,6.05,-96.9,422.041,,,finHit
308,68,100.0,1.0,1.0,-220.0,0.0,0.0,1.0
309,1,6.3,6.05,-187.3,113.025,,,finHit
310,69,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
311,1,6.3,6.05,-187.3,117.302,,,finHit
312,2,6.3,6.05,-134.8,306.211,,,finHit
313,3,6.3,6.05,-96.9,47.167,,,finHit
314,4,18.9,30.25,-13.2,878.505,,,finHit
315,70,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
316,1,6.3,6.05,-187.3,109.507,,,finHit
317,2,6.3,-6.05,-134.8,310.839,,,finHit
318,3,6.3,-6.05,-96.9,447.337,,,finHit
319,4,6.3,-6.05,-13.2,746.243,,,finHit
320,71,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
321,1,6.3,6.05,-187.3,11.169,,,finHit
322,2,6.3,6.05,-134.8,301.551,,,finHit
323,3,6.3,6.05,-96.9,441.884,,,finHit
324,72,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
325,1,6.3,6.05,-187.3,113.298,,,finHit
326,3,-6.3,-6.05,-96.9,444.652,,,finHit
327,4,31.5,18.15,-13.2,888.347,,,finHit
328,2,6.3,6.05,-134.8,293.752,,,finHit
329,73,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
330,1,6.3,6.05,-187.3,112.448,,,finHit
331,2,6.3,-6.05,-134.8,302.791,,,finHit
332,3,44.1,6.05,-96.9,728.672,,,finHit
333,4,18.9,-6.05,-13.2,789.354,,,finHit
334,74,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
335,1,6.3,6.05,-187.3,121.817,,,finHit
336,3,6.3,-6.05,-96.9,452.667,,,finHit
337,4,18.9,-6.05,-13.2,83.322,,,finHit
338,75,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
339,1,6.3,6.05,-187.3,108.933,,,finHit
340,2,-6.3,6.05,-134.8,301.716,,,finHit
341,3,6.3,6.05,-96.9,438.689,,,finHit
342,4,6.3,6.05,-13.2,763.768,,,finHit
343,76,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
344,1,6.3,6.05,-187.3,112.225,,,finHit
345,3,6.3,-6.05,-96.9,413.544,,,finHit
