,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
285,64,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
286,1,6.3,6.05,-187.3,111.503,,,
287,2,-6.3,6.05,-134.8,288.661,,,
288,3,-6.3,6.05,-96.9,426.023,,,
289,4,-6.3,6.05,-13.2,720.027,,,
290,65,100.0,1.0,1.0,-220.0,0.0,0.0,6.0
291,1,6.3,6.05,-187.3,113.711,,,
292,3,-6.3,-6.05,-96.9,426.727,,,
293,4,-18.9,-6.05,-13.2,820.161,,,
294,2,6.3,6.05,-134.8,286.704,,,
295,3,6.3,6.05,-96.9,42.128,,,
296,4,18.9,-6.05,-13.2,793.909,,,
297,66,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
298,1,6.3,6.05,-187.3,110.244,,,
299,2,6.3,-6.05,-134.8,30.859,,,
300,3,18.9,6.05,-96.9,551.301,,,
301,67,100.0,1.0,1.0,-220.0,0.0,0.0,6.0
302,1,6.3,6.05,-187.3,112.697,,,
303,2,-6.3,18.15,-134.8,378.247,,,
304,2,-6.3,-6.05,-134.8,358.371,,,
305,3,-31.5,-6.05,-96.9,572.954,,,
306,2,6.3,-6.05,-134.8,292.607,,,
307,3,-6.3,6.05,-96.9,422.041,,,
308,68,100.0,1.0,1.0,-220.0,0.0,0.0,1.0
309,1,6.3,6.05,-187.3,113.025,,,
310,69,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
311,1,6.3,6.05,-187.3,117.302,,,
312,2,6.3,6.05,-134.8,306.211,,,
313,3,6.3,6.05,-96.9,47.167,,,
314,4,18.9,30.25,-13.2,878.505,,,
315,70,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
316,1,6.3,6.05,-187.3,109.507,,,
317,2,6.3,-6.05,-134.8,310.839,,,
318,3,6.3,-6.05,-96.9,447.337,,,
319,4,6.3,-6.05,-13.2,746.243,,,
320,71,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
321,1,6.3,6.05,-187.3,11.169,,,
322,2,6.3,6.05,-134.8,301.551,,,
323,3,6.3,6.05,-96.9,441.884,,,
324,72,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
325,1,6.3,6.05,-187.3,113.298,,,
326,3,-6.3,-6.05,-96.9,444.652,,,
327,4,31.5,18.15,-13.2,888.347,,,
328,2,6.3,6.05,-134.8,293.752,,,
329,73,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
330,1,6.3,6.05,-187.3,112.448,,,
331,2,6.3,-6.05,-134.8,302.791,,,
332,3,44.1,6.05,-96.9,728.672,,,
333,4,18.9,-6.05,-13.2,789.354,,,
334,74,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
335,1,6.3,6.05,-187.3,121.817,,,
336,3,6.3,-6.05,-96.9,452.667,,,
337,4,18.9,-6.05,-13.2,83.322,,,
338,75,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
339,1,6.3,6.05,-187.3,108.933,,,
340,2,-6.3,6.05,-134.8,301.716,,,
341,3,6.3,6.05,-96.9,438.689,,,
342,4,6.3,6.05,-13.2,763.768,,,
343,76,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
344,1,6.3,6.05,-187.3,112.225,,,
345,3,6.3,-6.05,-96.9,413.544,,,
346,77,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
347,1,6.3,6.05,-187.3,118.942,,,
348,2,-6.3,6.05,-134.8,295.482,,,
349,3,-6.3,6.05,-96.9,444.887,,,
350,4,-18.9,6.05,-13.2,765.827,,,
351,78,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
352,1,6.3,6.05,-187.3,11.443,,,
353,2,-6.3,-6.05,-134.8,288.559,,,
354,3,-6.3,-6.05,-96.9,419.208,,,
355,4,6.3,-6.05,-13.2,753.729,,,
356,79,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
357,1,6.3,6.05,-187.3,106.378,,,
358,2,6.3,6.05,-134.8,30.875,,,
359,3,6.3,6.05,-96.9,468.632,,,
360,4,18.9,6.05,-13.2,821.228,,,
361,80,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
362,1,6.3,6.05,-187.3,115.229,,,
363,4,18.9,6.05,-13.2,782.574,,,
364,81,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
365,1,6.3,6.05,-187.3,10.477,,,
366,3,-6.3,-6.05,-96.9,42.059,,,
367,4,-6.3,6.05,-13.2,705.701,,,
368,82,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
369,1,6.3,6.05,-187.3,116.602,,,
370,3,6.3,6.05,-96.9,454.483,,,
371,83,100.0,1.0,1.0,-220.0,0.0,0.0,1.0
372,1,6.3,6.05,-187.3,121.253,,,
373,84,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
374,1,6.3,6.05,-187.3,112.814,,,
375,3,-6.3,6.05,-96.9,424.219,,,
