Hit_Id;Event_Number;Ini_E[MeV];Ini_Theta;Ini_Phi;Number_of_hits;Plane_h;X_h[cm];Y_h[cm];Z_h[cm];Time_h[ns]
1306;2047.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;298.891
1307;2047.0;56.0;0.0;0.0;4.0;3.0;-6.3;-6.05;96.9;447.609
1308;2047.0;56.0;0.0;0.0;4.0;4.0;-18.9;-6.05;13.2;805.294
1309;2048.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;10.954
1310;2048.0;56.0;0.0;0.0;3.0;3.0;6.3;6.05;96.9;461.096
1311;2048.0;56.0;0.0;0.0;3.0;4.0;-6.3;30.25;13.2;864.163
1312;2049.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;115.761
1313;2049.0;56.0;0.0;0.0;4.0;2.0;-6.3;6.05;134.8;300.675
1314;2049.0;56.0;0.0;0.0;4.0;3.0;-6.3;6.05;96.9;44.885
1315;2049.0;56.0;0.0;0.0;4.0;4.0;6.3;18.15;13.2;778.275
1316;2050.0;56.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;119.101
1317;2050.0;56.0;0.0;0.0;2.0;4.0;-6.3;-30.25;13.2;852.186
1318;2051.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;117.324
1319;2051.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;321.261
1320;2051.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;488.498
1321;2051.0;56.0;0.0;0.0;4.0;4.0;-6.3;30.25;13.2;869.483
1322;2052.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;112.864
1323;2052.0;56.0;0.0;0.0;3.0;2.0;-6.3;-6.05;134.8;308.827
1324;2052.0;56.0;0.0;0.0;3.0;3.0;-6.3;6.05;96.9;456.288
1325;2053.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;108.764
1326;2053.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;329.141
1327;2053.0;56.0;0.0;0.0;4.0;3.0;6.3;18.15;96.9;500.657
1328;2053.0;56.0;0.0;0.0;4.0;4.0;-6.3;30.25;13.2;874.658
1329;2054.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;10.353
1330;2054.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;306.584
1331;2054.0;56.0;0.0;0.0;3.0;3.0;6.3;-6.05;96.9;46.332
1332;2055.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;102.282
1333;2055.0;56.0;0.0;0.0;3.0;2.0;6.3;-18.15;134.8;369.083
1334;2055.0;56.0;0.0;0.0;3.0;3.0;6.3;-42.35;96.9;638.569
1335;2056.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;112.562
1336;2056.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;293.262
1337;2056.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;44.553
1338;2056.0;56.0;0.0;0.0;4.0;4.0;18.9;18.15;13.2;868.421
1339;2057.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;121.562
1340;2057.0;56.0;0.0;0.0;4.0;2.0;-6.3;6.05;134.8;328.531
1341;2057.0;56.0;0.0;0.0;4.0;3.0;-6.3;18.15;96.9;483.357
1342;2057.0;56.0;0.0;0.0;4.0;4.0;-18.9;18.15;13.2;818.937
1343;2058.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;109.783
1344;2058.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;323.201
1345;2058.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;454.458
1346;2058.0;56.0;0.0;0.0;4.0;4.0;18.9;6.05;13.2;785.559
1347;2059.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;106.781
1348;2059.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;344.427
1349;2059.0;56.0;0.0;0.0;4.0;3.0;18.9;-6.05;96.9;510.257
1350;2059.0;56.0;0.0;0.0;4.0;4.0;69.3;18.15;13.2;11.173
1351;2060.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;11.536
1352;2060.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;310.108
1353;2060.0;56.0;0.0;0.0;3.0;4.0;-6.3;42.35;13.2;929.668
1354;2061.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;107.571
1355;2061.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;306.172
1356;2061.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;461.666
